reference_token,hypothesis_token,count,also_in_baseline,example_files
whats,is,6,False,"euphonia_0066239dd276e14b97e7b90125a9f987.wav,euphonia_00af0209a2c2ab4f8f93537fa9c08cb9.wav,euphonia_9da1acb446900ea755e3475d89c16d50.wav,euphonia_d36528d4eb1c71cb8cacc1ca827d2233.wav,euphonia_da65fa840531873a080c618796d3dc96.wav"
i,im,4,False,"euphonia_5d29b4e629fe3d3722543a36890fdd41.wav,euphonia_7aedfb8902fc486f07ce3fc2d6a4fa56.wav,euphonia_a75a27eaad99a85e514746e0ef271b6f.wav,euphonia_f488f93691e3e99722980ff6bffe8ad2.wav"
its,is,3,False,"euphonia_3945637d24da3ce4f5768b99a696b654.wav,euphonia_81e462441c5df7b8f04ddbf7bc783df4.wav,euphonia_f561b8ad978f1632a038b92688b2228c.wav"
why,what,3,False,"euphonia_4d83af85ca6336d2d0719074bd6edd99.wav,euphonia_83c3fcc78cc997bc8b1ce6d9bd8e9dba.wav,euphonia_f5dbc05089ac67824b46858ca0329d85.wav"
dont,is,3,False,"euphonia_4d83af85ca6336d2d0719074bd6edd99.wav,euphonia_56aefabd8f804760c95366c77992aac8.wav,euphonia_f5dbc05089ac67824b46858ca0329d85.wav"
thats,is,3,False,"euphonia_504f63a22478c8c3010d2f7560da1a5f.wav,euphonia_ac01180a0b655ecdbc312f316047d287.wav,euphonia_ea6fd06b4994ac738f36e5bd5975ebb1.wav"
in,at,3,False,"euphonia_8c62fa4848f286d9a340ab0429d7c013.wav,euphonia_9c4d183637ab6ef2281fb840e1896970.wav,euphonia_a77c56276d955cf255ba1e11a95a66c2.wav"
them,name,2,False,"euphonia_02fad029c17ebc3442e6a86b7b558d19.wav,euphonia_fcab4635555dc94884f6ad0a27f92e44.wav"
thermostat,window,2,False,"euphonia_0b849e411a8b40117055fdab22104194.wav,euphonia_0dc6f14e699f8f17df39b2dcbc176def.wav"
on,at,2,False,"euphonia_0ca21e9e932d81d4e7476638121714c8.wav,euphonia_a73dfc3b856c8823804180a7a96ab55e.wav"
the,that,2,False,"euphonia_1bd22b01bf6ab483c80bf60319b77053.wav,euphonia_a73dfc3b856c8823804180a7a96ab55e.wav"
tell,turn,2,False,"euphonia_1f57bb193dd67c5deac13ce73c3f7362.wav,euphonia_a673deb0a2aaa7265b69671fe5d7afb6.wav"
you,i,2,True,"euphonia_20ffdf991f0af7f3e1680e051faa7133.wav,euphonia_2811e776717be757ccf41f4e59c105fa.wav"
your,a,2,False,"euphonia_22af02d466c6c4f6a1e4475572ccc89b.wav,euphonia_f5e7d2259fc7734bedd494b9aae76c69.wav"
23rd,dead,2,False,"euphonia_2f55bbab787def78570dae068967fe57.wav,euphonia_f5e7d2259fc7734bedd494b9aae76c69.wav"
are,do,2,False,"euphonia_32141d3dbfdccf27e26a6284e678d955.wav,euphonia_8846f65151aeeb4aed3468c8de7957eb.wav"
volume,ballon,2,False,"euphonia_40d7af25ea70ff02593f5d970a706184.wav,euphonia_a677a0aaeabe6c35b12a71789d207acf.wav"
go,going,2,False,"euphonia_53113ac4cc07b5666c257683a3c95105.wav,euphonia_a75a27eaad99a85e514746e0ef271b6f.wav"
timer,time,2,False,"euphonia_53539c70b38e59c8bd2aa50ad6ca850e.wav,euphonia_a73dfc3b856c8823804180a7a96ab55e.wav"
one,more,2,False,"euphonia_53539c70b38e59c8bd2aa50ad6ca850e.wav,euphonia_fd43c9e015619bdf74d7685fc6868663.wav"
this,they,2,False,"euphonia_624045e9e777b9f7ab19f8f4bf438ffc.wav,euphonia_b7dffb8c76cf39aabe6af67126e1609a.wav"
is,again,2,False,"euphonia_665a9e3b468d356a2aacd9e600e7cb81.wav,euphonia_c4ea033e0b390dff482ed30689c8da8c.wav"
here,he,2,False,"euphonia_7204b803da7103d893dd5142f09a875e.wav,euphonia_b2bdd9b2f629ccd9085ea9574800da5b.wav"
id,would,2,False,"euphonia_8057d7631e12c7c2e1f511ac7563e841.wav,euphonia_96f4d1a85144a6343c30f7f66199973a.wav"
me,be,2,False,"euphonia_958f898695a06eda37c9ef4ed2fcaaa7.wav,euphonia_e69d6a8d22dba11a75c816499a303c01.wav"
here,is,2,False,"euphonia_97f4c174289c521bcf04968269740b01.wav,euphonia_c75deac6e26e7a95c50bed0fafec879e.wav"
bluetooth,the,2,False,"euphonia_a2c1193e9bf89f22ec3ecfc8b3bd0647.wav,euphonia_a9359ce741705d426ddab4fb2d8b7620.wav"
ive,have,2,False,"euphonia_ac7587b4fbd8cda6efd245604a196132.wav,euphonia_f18da0eafb27aca75e15c3c3f5d6b1ec.wav"
song,soon,2,True,"euphonia_c6b53167f5bc9f24b84bb99672cd8c9d.wav,euphonia_fe9cdeba9b71f7673360ed5ec702d296.wav"
founded,one,2,False,"euphonia_d62fd4b5ccb710db15b512a730f65388.wav,euphonia_e1c9bb4eb3079615a8d7b3a20d7a739b.wav"
