dataset_version,file_name,source,manifest_row_index,audio_path_resolved,duration_sec,duration_bin,transcript_raw,transcript_len_chars,transcript_len_words,timestamp_ms,recording_device,audio_sha256,transcript_sha256,pair_sha256,split,duplicate_audio_flag
v1,euphonia_001eb484b1e308c88cc18f409a25d69a.wav,euphonia,653.0,/Users/skinner/Downloads/takeout-E407/euphonia_001eb484b1e308c88cc18f409a25d69a.wav,4.365,"(3.0, 10]",tell me a bedtime story,23.0,5.0,1566088043604.0,macbook_pro,14b98055a4d0a35030854d4bcc63828021cba6d4eb40e5a9f4cd0fb2c6a995c4,382be4ae71acbeb1153bde304a4b22e015f4315685e1a3d6845d40936b873644,85aa9f3720326f0af4ee3860135d920da5f71e329ac58c5b4b5d874f74bcc5fd,train,False
v1,euphonia_00497bf1033d7b0ea4f03e8e559baa6f.wav,euphonia,1528.0,/Users/skinner/Downloads/takeout-E407/euphonia_00497bf1033d7b0ea4f03e8e559baa6f.wav,3.158,"(3.0, 10]",Turn on.,8.0,2.0,1566772347008.0,macbook_pro,935d9b422ba5bde69dedf9de55fc1bcbdb5630ab6260c26690d27223e358ef33,1f2677aca360863da1d92051a2158edff07a44f0b6362f43741b81454874ca43,b2c1fdeca5b1f7d452d800be2884f38d7549b26a08e3eb3eda05b4fed61cb7f5,train,False
v1,euphonia_006c45aad990d6bee4ef989fcc54bbe3.wav,euphonia,711.0,/Users/skinner/Downloads/takeout-E407/euphonia_006c45aad990d6bee4ef989fcc54bbe3.wav,3.344,"(3.0, 10]",Isn't there any way?,20.0,4.0,1566168058932.0,macbook_pro,481a9e9eb1861f8ebdc1deddea2dc5f590b14aa24046a2f6691a512a5f4a0bf8,b077dc8a3c0410b9abc7621a899b5ed34b67718cc4743ed0e67b6093e2820499,a6e0ea12af3b535e1797776303045660be7f3a9baffde282c969bd1ea452cc7a,train,False
v1,euphonia_006f24242f305dd36bbfa6b31e87599b.wav,euphonia,2694.0,/Users/skinner/Downloads/takeout-E407/euphonia_006f24242f305dd36bbfa6b31e87599b.wav,10.403,"(10.0, 30]",Arnold visited the Museum of Decorations and Medals of Norway.,62.0,10.0,1572900948054.0,macbook_pro,f6071812524b2e30a5d6eaa326582a62cfa4eb95f28502c4108c6c3e8199272d,c889e315adbc69901421c048a0beb04e8bcf863b7bb1ea60d1df1da9c7c8f736,461193b53977ddf8a0a529fb1b461b84589e7abf9c087155c9385741425291f9,train,False
v1,euphonia_00744b5eb35f8c44ee585c7561f1fc2c.wav,euphonia,2349.0,/Users/skinner/Downloads/takeout-E407/euphonia_00744b5eb35f8c44ee585c7561f1fc2c.wav,3.529,"(3.0, 10]",The Fantastic Four.,19.0,3.0,1572464353530.0,macbook_pro,b5600daa8a38f58881ffd7a94c0c65ada4b6bf0f5c1cb1252bc770406b0d04bb,1254b1888a5085f98fed560a2c2ac833dc5ee48cfce2dc37684edd95bf22cf63,c1a0d0351aed41ca5444c32c6419d087530cac25a4499d9eceb612076143789c,train,False
v1,euphonia_00906cfb9c36c6d9fb3a991c9e9ccd9a.wav,euphonia,1300.0,/Users/skinner/Downloads/takeout-E407/euphonia_00906cfb9c36c6d9fb3a991c9e9ccd9a.wav,2.508,"(1.0, 3]",Set a reminder,14.0,3.0,1566677815661.0,macbook_pro,56498c667e51fb627bdb9520ed3f3eba87892e116561da4c64bc14bae312a52a,67bedb557d6b70513e192731a63b20ad81250a64368ef659312daa1744d31284,5410a655f1d7f2552e4e1a7b4d858b9c05503da8741456df82a548af10696eb6,train,False
v1,euphonia_009f50fff7ff3241c4e674eaae899189.wav,euphonia,1379.0,/Users/skinner/Downloads/takeout-E407/euphonia_009f50fff7ff3241c4e674eaae899189.wav,3.437,"(3.0, 10]",What time am I going?,21.0,5.0,1566678385931.0,macbook_pro,45b363357d9c1eacb76950b1c22ce0eb7c63e1d4a9f2814d8f27d31e3d7f1e20,cce07c6fb86cd642c04cec8d639319d03d12c003423e323e7772f89567a4cf42,49122cd4e1e42820b39d6aa49e42527b0b1a6c8d6b4f2b459c5400f296181a6d,train,False
v1,euphonia_00e21c5ba37dc5aab72599c74eb1b9eb.wav,euphonia,3532.0,/Users/skinner/Downloads/takeout-E407/euphonia_00e21c5ba37dc5aab72599c74eb1b9eb.wav,4.087,"(3.0, 10]",A rainbow in the sky:,21.0,5.0,1573852524247.0,macbook_pro,ad10b7eab52330f792de344bb0ad25e86b92775c085dca296d898a2e5d998557,ded52de42df78cbf9359d2eb3d0009457c79172d99711de5ffeb4e061ae0b4a2,358dc6df72578043198fdcf69fe81b884d1a9e00193d5f4b8fdd675418426df1,train,False
v1,euphonia_011f7a11a01a3f3d8e56954b384ee496.wav,euphonia,282.0,/Users/skinner/Downloads/takeout-E407/euphonia_011f7a11a01a3f3d8e56954b384ee496.wav,2.043,"(1.0, 3]",louder,6.0,1.0,1565722674147.0,macbook_pro,cbd8a8152cf5ee7582972f5466ffe10baa762d51ba09aa326524a53a7cc307c5,d864e204e847c5e40421c115ef1d9257c98eef117881b239c352b15f5c6b11aa,10dda078119d40b7080ee75d5594815639e66b6ebd155d620c56b94a49a53de0,train,False
v1,euphonia_011f9e1716415beda861c46a31310fa4.wav,euphonia,165.0,/Users/skinner/Downloads/takeout-E407/euphonia_011f9e1716415beda861c46a31310fa4.wav,7.43,"(3.0, 10]",How much is a round-trip flight to New York?,44.0,10.0,1565635571607.0,macbook_pro,670fcc3ff2de95a0fb3401fa77dd9148301781fea195b985e2cba951c4600bb7,681f6fee88333f44f2f65948607b614533882796615de04411986d0560a3165e,00a5d0b17f8be966e199abc923ea49a8584bdc07fd0cdbd29fb997f33d5a7dcf,train,False
